               SKB    CPU          PROCESS                     FUNC        TIMESTAMP
0xffff9f5f0ac5d000      3           [ping]  __skb_checksum_complete    1026589743588 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                icmp_echo    1026589752390 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]               icmp_reply    1026589761207 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        __ip_options_echo    1026589769222 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]     fib_compute_spec_dst    1026589779218 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping] security_skb_classify_flow    1026589789341 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5da00      3           [ping]           __ip_local_out    1026589817007 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                ip_output    1026589825965 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]             nf_hook_slow    1026589833051 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]  apparmor_ipv4_postroute    1026589840678 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         ip_finish_output    1026589848275 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping] __cgroup_bpf_run_filter_skb    1026589855641 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       __ip_finish_output    1026589862983 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        ip_finish_output2    1026589870430 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]     neigh_resolve_output    1026589878224 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       __neigh_event_send    1026589885641 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]               eth_header    1026589896217 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                 skb_push    1026589903554 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]           dev_queue_xmit    1026589910760 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         __dev_queue_xmit    1026589917433 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       qdisc_pkt_len_init    1026589924508 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]      netdev_core_pick_tx    1026589931987 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]        validate_xmit_skb    1026589939678 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]       netif_skb_features    1026589946340 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]  passthru_features_check    1026589953739 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]     skb_network_protocol    1026589961047 10.10.0.20:0->10.10.0.10:0(icmp)
